title,level,expected_duration,expected_duration_unit,required_knowledge
Self-Driving Fundamentals: Featuring Apollo ,beginner,4,week,<p class="text-center">No prerequisite. Anyone who is interested in the basics of self-driving cars without any programming or mathematical background is free to be enrolled. </p>
Spark,intermediate,10,hours,<p>This course is ideal for students with programming and data analysis experience.</p>
Tales from the Genome,beginner,3,months,<p>No previous experience in genetics is necessary. However, familiarity with basic biological concepts, like the cell, is beneficial.</p>
Design of Computer Programs,advanced,2,months,<p>This course is intended for experienced Python programmers; students should be familiar with the Python syntax, as well as familiar with the following programming concepts: data structures, basic algorithms, and lambda functions.</p><p>This course is intended to challenge you. Be ready to struggle (and learn)!</p>
Intro to Algorithms,intermediate,4,months,<p>This class assumes an understanding of programming at the level of CS101, including the ability to read and write short programs in Python; it also assumes a comfort level with mathematical notation at the level of high school Algebra II or the SATs.</p>
Differential Equations in Action,intermediate,2,months,<p>You'll need a basic knowledge of programming in Python for this course, around the level of <a href="https://www.udacity.com/course/intro-to-computer-science--cs101">Intro to Computer Science</a>. An understanding of Python packages, as discussed in <a href="https://www.udacity.com/course/programming-foundations-with-python--ud036" target="_blank">Programming Foundations with Python</a>, will also be helpful.</p> <p>In addition, you'll need to feel comfortable with trigonometry at the high school level, as well as basic vector algebra. This class will primarily involve solving differential equations numerically rather than analytically, but some exposure to <a href="http://www.khanacademy.org/math/calculus/" target="_blank">calculus</a> and physics at the level of <a href="https://www.udacity.com/course/intro-to-physics--ph100" target="_blank">Intro to Physics</a> wouldn't hurt.</p> <p>Most of all, bring with you a love of learning and problem solving!</p>
Mobile Web Development,intermediate,6,weeks,<p>This course is for experienced front-end web developers who’d like to learn what it takes to create <a href="http://www.chrome.com/racer">great</a> <a href="http://sketchpad.io">mobile</a> experiences. In order to succeed in this class, you should be comfortable with HTML, CSS, and Javascript, and should have experience creating web apps, either professionally or for fun. You don&#39;t need to know any specific HTML5 extras or APIs, we&#39;ll cover any of those that we need as the course progresses.</p>
Software Testing,intermediate,1,months,<p>Programming experience is required.</p>
Software Debugging,intermediate,2,months,<p>Basic knowledge of programming and Python at the level of Udacity CS101 or better is required. Basic understanding of Object-oriented programming is helpful.</p>
Programming Languages,intermediate,2,months,<p>This course assumes previous programming experience, comparable to what is covered by the Udacity CS101 course.</p>
Intro to Artificial Intelligence,intermediate,4,months,<p>Some of the topics in Introduction to Artificial Intelligence will build on probability theory and linear algebra. You should have understanding of probability theory comparable to that covered in our <a href="https://www.udacity.com/course/intro-to-statistics--st101">Intro to Statistics</a> course.</p>
Interactive 3D Graphics,intermediate,2,months,<p><strong>Knowing how to program in some language is all you’ll need to get started</strong>. Some knowledge of JavaScript is useful later on if you wish to make your projects more interactive and engaging. Familiarity with vectors and matrices will ease your way but is not critical.</p><p>To be able to see the interactive demos and do programming assignments you need a browser that supports <strong>WebGL</strong> technology. An up to date version of Chrome or Firefox will work (see our <a href="https://www.udacity.com/tech-requirements">FAQ</a> for more information). You can test if your browser supports this technology by visiting the <a href="http://get.webgl.org">WebGL project homepage</a>. </p><p>Almost all programming will be done in JavaScript using <a href="http://en.wikipedia.org/wiki/Threejs">three.js library/API</a>.</p><p><br><strong>About Autodesk</strong></p><p><em>This course is developed in conjunction with Autodesk, a worldwide leader in 3D design, engineering, and entertainment software.  <a href="http://www.autodesk.com" target="_blank"><a href="http://www.autodesk.com">http://www.autodesk.com</a></a></em></p>
Intro to Theoretical Computer Science,intermediate,2,months,<p>You should have a basic understanding of algorithms (such as <a href="https://www.udacity.com/course/intro-to-algorithms--cs215">CS215</a>) and programming (such as <a href="https://www.udacity.com/course/intro-to-computer-science--cs101">CS101</a>). No prior knowledge about theoretical computer science required!</p>
Artificial Intelligence for Robotics,advanced,2,months,<p>Success in this course requires some programming experience and some mathematical fluency. </p><p>Programming in this course is done in Python. We will use some basic object-oriented concepts to model robot motion and perception. If you don’t know Python but have experience with another language, you should be able to pick up the syntax fairly quickly. If you have no programming experience, you should consider taking Udacity’s <a href="https://www.udacity.com/course/intro-to-computer-science--cs101" target="_blank">Introduction to Computer Science</a> course before attempting this one.</p><p>The math used will be centered on probability and linear algebra. You don’t need to be an expert in either, but some familiarity with concepts in probability (e.g. probabilities must add to one, conditional probability, and Bayes’ rule) will be extremely helpful. It is possible to learn these concepts during the course, but it will take more work. Knowledge of linear algebra, while helpful, is not required.</p>
Applied Cryptography,advanced,2,months,<p>This course assumes previous programming experience, comparable to what is covered by the Udacity CS101 course, as well as some understanding of probability and theory of computation and algorithm analysis.</p>
Intro to the Design of Everyday Things,beginner,2,weeks,<p>There are no prerequisites for the course; it’s for anyone curious about basic design principles.</p>
How to Build a Startup,intermediate,1,months,<p>This class involves no programming. The characteristics of a budding entrepreneur: passion, tenacity, and a willingness to work hard, are essential. </p><p>We also recommend you join the class with at least a rough idea of a business model for a startup you would like to work on throughout this class.</p>
OMSCS Student Orientation,beginner,0,,
Intro Algebra Review,beginner,2,months,<p>This is a review course, it is expected that students will have some previous knowledge of most topics covered in the course.</p><p><br><br>Made possible through a grant from the Bill and Melinda Gates Foundation.</p>
Visualizing Algebra,beginner,4,months,<p>Almost nothing! Students should know their multiplication tables (1-12) and be proficient with adding and subtracting integers (for example, -7 - 16). A pencil and paper will be a student’s best aid rather than a calculator. </p>
College Algebra,beginner,4,months,<p>Basic arithmetic - addition, subtraction, multiplication and division of positive and negative numbers.<br><br></p>
Intro to Physics,beginner,2,months,<p>This course is suitable for anyone; a basic understanding of algebra is suggested.</p>
Intro to Psychology,beginner,4,months,<p>There are no prerequisites, but we encourage curiosity about human nature.</p>
Statistics,beginner,4,months,<p>It sounds strange to say, but math is not the focus of this class.  To do well, however, it is necessary to have a basic understanding of proportions (fractions, decimals, and percentages), negative numbers, basic algebra (solving equations), and exponents and square roots.</p>
Intro to Statistics,beginner,2,months,<p>This course does not require any previous knowledge of statistics. Basic familiarity with algebra such as knowing how to compute the mean, median and mode of a set of numbers will be helpful. </p>
Intro to HTML and CSS,beginner,3,weeks,<p>This course is ideal for developers of all skill levels.</p>
High Performance Computer Architecture,advanced,0,,<p>You must be familiar with Assembly code, the C or C++ programming language, Unix or Linux, and the basics of pipelining.</p>
Intro to Machine Learning,beginner,1,week,<p>This free course is ideal for beginners who are looking to learn the basics of Machine Learning. No prior experience is necessary.</p>
Intro to Programming Nanodegree Preview,beginner,0,week,No programming experience required! Basic computer skills like managing files, navigating the Internet, and running programs will be useful. We’ll teach you everything you need to know, but the difficulty level of the projects may vary based on your familiarity with some of the content that is covered.
AWS DeepRacer Scholarship Challenge,beginner,0,week,
Self Driving Car Engineer Nanodegree Preview,beginner,0,week,You'll benefit by having a background in the following:

* Intermediate Python (Classes, Data structures)
* Intermediate C++ (Classes, Memory management, Linking)
* Basic Linear Algebra (Matrices, Vectors, Matrix multiplication)
* Basic Calculus (Derivatives, Integrals)
* Basic Statistics (Mean, Standard deviation, Gaussian distribution)
* Basic Physics (Forces)
Digital Marketing Nanodegree Preview,beginner,0,week,Students should have basic computer skills and be comfortable navigating online.
Data Scientist Nanodegree Preview,beginner,0,week,This is an introductory program and has no prerequisites. In order to succeed, we recommend having experience using a computer and being able to download and install applications.
Data Wrangling with MongoDB,intermediate,2,months,<p>The ideal student should have the following skills:</p><ul><li>  Programming experience in Python or a willingness to read a little documentation to understand examples and exercises throughout the course.</li><li>  The ability to perform rudimentary system administration on Windows or Unix</li></ul><p>At least some experience using a unix shell or Windows PowerShell will be helpful, but is not required. </p><p>No prior experience with databases is needed.  </p><p><strong>About MongoDB</strong><br><em>This course is developed in conjunction with MongoDB, Inc., the originator and primary contributor to the open source database <a href="https://github.com/mongodb" target="_blank"> MongoDB</a>. MongoDB is the leading NoSQL database. Designed for how we build and run applications today, MongoDB empowers organizations to be more agile and scalable. It enables new types of applications, better customer experience, faster time to market and lower costs.</em></p>
Firebase in a Weekend: iOS,intermediate,2,days,<p>You need to have proficiency in building an iOS mobile application, including experience in basic command line, calling a web or cloud API, working with the view controller life cycle, using multiple view controllers, and working with UITableViewController (iOS Developer Nanodegree or equivalent level). Familiarity working with a web service from iOS, using Core Data, or building apps that use databases will also be helpful.</p>
Firebase in a Weekend: Android,intermediate,2,days,<p>You need to have proficiency in Java and the Android Framework (Android Basics or equivalent level). Familiarity with Git, using open web APIs and feeling comfortable with Android Studio will also be helpful.</p>
Computability, Complexity & Algorithms,advanced,0,,<p>Students are expected to have a solid grasp of the basics of discrete mathematics.  Discrete Mathematics and Its Applications by Ken Rosen provides an excellent background for this course. </p><p>If you answer "no" to any of the following questions, it may be beneficial to acquire background knowledge concurrently or prior to taking the course.</p><ol><li>Can you show that the sum of the first n numbers is n(n+1)/2? Can you give the proof as an induction on n?</li><li>Can you give an O(n log n) algorithm for sorting n numbers?</li><li>Can you describe the difference between breadth-first and depth-first search?</li><li>Given an nxn matrix A and an n-dimensional vector b, can you give a polynomial-time algorithm to find a vector x such that Ax=b?</li></ol>
Full Stack Foundations,intermediate,3,weeks,<p>You should be comfortable with Python, including Object-Oriented Programming. If you’d like to brush up on your Python, try the first three lessons of our <a href="/course/intro-to-computer-science--cs101" target="_blank">Intro to Computer Science</a> course. For Object-Oriented Programming in Python, see <a href="/course/programming-foundations-with-python--ud036" target="_blank">Programming Foundations with Python</a>.</p><p>You should also have a firm understanding of SQL and working with a relational database, particularly PostgreSQL. Our <a href="/course/intro-to-relational-databases--ud197" target="_blank">Intro to Relational Databases</a> course can get you started if you feel you’re not yet prepared.</p><p>Finally, you should be able to read and write HTML and CSS without any guidance. If you need a refresher on HTML and CSS, start with our <a href="/course/html-and-css-syntax--ud001" target="_blank">Intro to HTML and CSS</a> course.</p><p>To complete the final project for this course, it is <strong><em>critical</em></strong> you meet these prerequisites as you are given no assets to begin with and will truly build a complete web application from scratch.</p>
AI Programming with Python Nanodegree Preview,beginner,0,week,Formal prerequisites include basic knowledge of algebra and calculus. Basic programming knowledge will help to quickly pick up AI’s essential coding concepts.
GT - Refresher - Advanced OS,intermediate,3,weeks,<p>No prior knowledge of Operating System concepts is assumed; however, the course is dense, since it is intended as a refresher for the student who already has some exposure to OS concepts.</p>
